FID,Perimeter,Area,Acres,Hectares,LCU_C1,LCU_N1,LCU_C2,LCU_N2,COVER_C,COVER_N,HEIGHT_C1,HEIGHT_C2,HEIGHT_N,CLASS_31,CLASS_31_N,CLASS_31_D,CLASS_15_C,CLASS_15_N,CLASS_7_C,CLASS_7_N,HNA_C1,HNA_C2,HNA_N1,HYDRO_C1,HYDRO_C2,HYDRO_N,HYD_REG_C,HYD_REG_N,LAND_WATER,NVCS2_CODE,NVCS2_DESC
0,106944.304208000000000,359878408.513000010000000,57.372718426900001,23.217915403599999,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
1,10983.800875900000000,3400413.527809999900000,0.542102452525000,0.219381079160000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
2,16776.434447500000000,5176585.484969999600000,0.825264240411000,0.333972589148000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
3,11917.344203100000000,6355828.292240000300000,1.013262086180000,0.410052618102000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
4,80470.665226600002000,114151187.948000000000000,18.198268663299999,7.364578041650000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
5,34787.060573700001000,12048526.854800001000000,1.920806367780000,0.777322758565000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
6,125132.762482000010000,84840422.276899993000000,13.525472891300000,5.473564683610000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
7,31688.393736599999000,15479096.606000001000000,2.467716401070000,0.998649396633000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
8,151611.586714000000000,63621468.765699998000000,10.142694107400001,4.104602678890000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
9,93093.355108599993000,68544852.717700005000000,10.927592324400001,4.422239717940000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a
