RowID,stratum,lcode,sdate,utm_e,utm_n,snag
1,BWC-S,M536.9M,9/20/1989,733888,4663573,NA
143,BWC-S,F12.RS,10/18/1994,639120,4842100,0
144,BWC-S,F8.RS,10/24/1994,735325,4660985,1
187,BWC-S,F2.RS,6/25/1996,584495,4911045,1
188,BWC-S,M701.8C,9/3/1996,636936,4857532,0
287,BWC-S,F10.RS,10/7/1996,733725,4668985,1
318,BWC-S,F81A.RS,7/7/2004,732525,4662835,1
365,BWC-S,F2.RS,8/23/2004,638920,4855150,0
411,BWC-S,F6.RS,10/4/2004,581995,4915345,0
426,BWC-S,F29A.RS,8/22/2005,642570,4846150,0
457,IMP-S,F13.RS,10/9/1996,642670,4836800,1
477,MCB-W,M796.7M,9/5/2006,531612,4939621,0
511,MCB-U,D5.RS,7/13/1995,584545,4909345,1
536,MCB-W,M696.8I,8/27/1991,639499,4850832,NA
586,MCB-W,M796.7M,9/12/2017,531612,4939621,1
627,BWC-S,D10.RS,7/3/2007,726225,4669485,0
631,BWC-S,F7.RS,6/25/2002,640870,4843000,0
646,BWC-S,F75A.RS,8/3/2004,580295,4915595,0
655,BWC-S,F6.RS,10/19/2004,642420,4845150,0
656,BWC-S,F8.RS,8/2/2005,738775,4649535,1
669,BWC-S,F89A.RS,9/23/1993,638970,4837650,0
763,MCB-W,M796.8M,6/20/1994,531445,4939670,0
764,BWC-S,F12.RS,6/25/1996,639120,4842100,1
775,BWC-S,M690.5D,8/9/1989,639245,4841945,NA
814,TWZ,M702.3A,11/13/1990,635988,4857754,NA
815,MCB-W,M796.7M,8/22/1991,531610,4939625,NA
816,BWC-S,M701.8C,7/7/1994,636936,4857532,1
833,IMP-S,F11.RS,8/18/1994,736275,4652785,0
852,BWC-S,F8.RS,9/29/1997,726725,4670535,0
853,BWC-S,F87A.RS,8/6/2007,581145,4914495,0
889,BWC-S,F1.RS,7/6/2010,643070,4845850,0
904,BWC-S,F4.RS,9/2/2014,643820,4845450,0
915,BWC-S,F9.RS,10/13/1997,644170,4845100,0
916,BWC-S,F7.RS,9/20/1999,736425,4660835,0
922,BWC-S,F8.RS,9/6/2000,638920,4837550,0
927,BWC-S,F5.RS,8/28/2000,727025,4670135,1
934,TWZ,M796.9M,8/8/2005,531013,4939618,0
968,BWC-S,F6A.RS,9/2/2008,643720,4844850,0
986,IMP-S,F14.RS,9/15/2008,736325,4642985,0
995,IMP-S,F12.RS,10/9/2008,642970,4834900,0
1011,BWC-S,M757.5T,7/31/1990,581650,4914235,NA
1066,BWC-S,F9.RS,8/3/1995,641220,4843000,0
1091,BWC-S,F8A.RS,6/17/1997,641270,4842700,0
1094,IMP-S,F13.RS,8/6/1998,641220,4835300,0
1115,BWC-S,F9.RS,9/1/1998,641370,4842200,0
1153,BWC-S,F2A.RS,10/18/2004,715325,4680835,1
1212,BWC-S,F2.RS,9/7/2005,641670,4843200,0
1213,BWC-S,F50A.RS,8/8/2007,737725,4655535,1
1215,BWC-S,M701.8C,8/9/1995,636936,4857532,0
1230,BWC-S,F1.RS,10/8/1996,583095,4912745,NA
1255,BWC-S,F10.RS,8/11/1998,735375,4655285,1
1258,BWC-S,F3.RS,9/18/2000,583095,4912795,1
1328,BWC-S,F6.RS,10/23/2017,581045,4912545,1
1380,BWC-S,F5.RS,10/19/2000,734675,4661385,0
1381,BWC-S,F7.RS,8/26/2004,643970,4845000,0
1382,IMP-S,F13.RS,9/25/2006,733425,4647385,0
1383,BWC-S,D7.RS,7/20/2010,718825,4676885,1
1402,SCB,D8.RS,6/29/2001,540045,4936095,1
1419,MCB-W,M696.8,9/23/1992,639499,4850832,0
1482,BWC-S,M753.5V,7/5/1991,584685,4908850,NA
1507,BWC-S,F42A.RS,10/8/2013,579045,4915845,0
1535,BWC-S,F3.RS,7/22/1997,635970,4857800,0
1564,MCB-W,M757.1W,8/25/1997,581400,4912900,0
1570,BWC-S,F6.RS,9/15/1997,580345,4912095,0
1579,IMP-S,F15.RS,9/22/1997,640370,4828900,0
1598,IMP-S,F13.RS,9/21/1998,733775,4645185,1
1610,BWC-S,F9.RS,8/16/1993,737325,4653785,1
1611,BWC-S,M692.7R,9/5/1995,642904,4844961,1
1684,BWC-S,F7.RS,9/26/1995,729875,4669935,1
1814,BWC-S,M692.7R,10/24/1994,642904,4844961,1
1860,BWC-S,F1.RS,10/11/1999,641970,4847850,1
1864,BWC-S,F2.RS,7/17/2001,717575,4676885,1
1886,BWC-S,F51A.RS,8/14/2001,639120,4850100,0
1944,BWC-S,F4.RS,6/17/2002,585045,4910295,1
1965,BWC-S,F72A.RS,8/2/2005,578945,4915695,0
1993,IMP-S,F13.RS,6/25/2007,733725,4647985,0
2059,IMP-S,F13.RS,8/25/1993,643671,4839650,0
2127,BWC-S,F5.RS,10/3/1995,579795,4915595,0
2128,MCB-W,M796.7M,6/22/1998,531610,4939625,0
2142,IMP-S,F15.RS,8/6/1998,641220,4835400,0
2143,BWC-S,F100A.RS,10/14/1998,734225,4668485,0
2283,BWC-S,F98A.RS,10/8/2001,734625,4668035,1
2494,SCB,D16.RS,8/19/2014,585245,4908595,1
2525,BWC-S,F39A.RS,10/28/2015,640720,4841100,1
2561,MCB-U,D4.RS,6/15/2017,735525,4642335,1
2596,BWC-S,D14.RS,8/4/2011,735475,4654935,1
2628,BWC-S,F39A.RS,10/6/2006,737525,4655535,1
2653,BWC-S,D14.RS,9/27/2012,737575,4656585,0
2655,MCB-W,M760.9W,9/10/2013,576050,4915600,0
2679,SCB,D6.RS,9/11/2015,735425,4658685,1
2747,BWC-S,F69A.RS,8/18/2016,737225,4656485,1
2812,MCB-U,D4.RS,8/10/2009,736925,4654085,1
2839,BWC-S,F2.RS,7/28/1998,643520,4845500,0
2873,BWC-S,F10A.RS,7/29/1998,640420,4841100,0
2884,BWC-S,F6.RS,9/1/1999,733175,4666135,1
2894,BWC-S,F6.RS,7/14/2016,733825,4664885,1
3003,BWC-S,D13.RS,6/26/2014,738025,4660085,0
3009,BWC-S,F1A.RS,9/4/2014,715525,4680336,1
3040,SCB,D12.RS,10/4/2011,582445,4911645,0
3075,BWC-S,D9.RS,9/9/2009,719275,4676535,0
3076,BWC-S,D10.RS,9/24/1998,717625,4677085,1
3137,IMP-S,D19.RS,8/8/2005,643420,4828500,0
3143,SCB,D6.RS,8/25/2006,735925,4654085,1
3240,BWC-S,D17.RS,8/21/2000,583545,4912645,1
3301,SCB,D9.RS,6/29/2001,539845,4936195,1
3314,BWC-S,D12.RS,8/4/1999,735325,4655535,1
3360,BWC-S,D8.RS,10/11/1993,719575,4676585,1
3387,MCB-U,M529.7,7/8/1992,736991,4651966,1
3409,BWC-S,D20.RS,9/18/2013,641070,4839349,0
3464,SCB,D5.RS,10/24/1994,642220,4844600,0
3522,SCB,D10.RS,10/23/2007,584045,4911545,1
3553,BWC-S,D15.RS,9/8/2004,541345,4934595,1
3630,MCB-W,M699.5E,7/17/1997,638518,4854005,0
3657,SCB,D5.RS,9/17/2014,736025,4657235,1
3710,BWC-S,F2.RS,10/13/2010,583045,4912945,1
3772,IMP-S,F16.RS,7/13/2011,641020,4835500,0
3818,IMP-S,F14.RS,7/16/2012,641070,4834850,0
3819,IMP-S,F15.RS,9/16/2013,639170,4834649,0
3902,BWC-S,F64A.RS,6/21/2012,733375,4661985,1
4075,IMP-S,D22.RS,9/23/1994,643470,4832300,1
4164,IMP-O,M525.5F,8/28/1990,734965,4645539,NA
4165,MCB-U,M686.6,7/29/1992,640620,4836021,1
4174,BWC-S,M701.8C,8/29/1991,636936,4857532,NA
4288,SCB,D10.RS,9/19/2013,641520,4843649,0
4289,BWC-S,D8.RS,8/28/2012,725125,4673435,1
4323,BWC-S,F44A.RS,8/9/2010,583845,4912245,1
4354,BWC-S,F5.RS,6/17/2013,582545,4913645,1
4378,IMP-S,F12.RS,6/17/2013,738275,4647334,1
4386,TWZ,M796.9M,7/15/2013,531164,4939768,0
4419,BWC-S,M551.6N,9/24/1991,718446,4677202,NA
4491,TWZ,M702.3,10/21/1992,635988,4857754,0
4527,BWC-S,F2.RS,9/29/1993,578695,4916395,1
4586,BWC-S,F11.RS,8/2/1994,642820,4840400,0
4594,IMP-S,H4A.RS,9/28/1994,643370,4837300,1
4641,BWC-S,F6.RS,10/13/2010,643370,4842350,0
4643,BWC-S,F9.RS,6/28/1994,733825,4668035,0
4645,IMP-S,F14.RS,7/7/1994,737075,4643285,0
4658,IMP-S,H42A.RS,7/15/1996,643320,4828200,0
4689,BWC-S,F87A.RS,7/31/2001,581595,4913795,0
4716,BWC-S,F58A.RS,9/11/2012,733475,4662335,1
4750,IMP-S,F14.RS,9/28/2015,643470,4832000,0
4773,BWC-S,F14A.RS,10/19/2015,642420,4847000,1
4799,IMP-S,F12.RS,9/28/2005,736625,4650635,1
4802,IMP-S,F13.RS,9/27/1993,643736,4839750,0
4863,BWC-S,F2.RS,10/4/1993,721075,4674085,1
4908,IMP-S,D18.RS,8/22/1995,736325,4642685,1
4937,MCB-U,D6.RS,10/14/2005,582595,4912245,1
5016,BWC-S,D15.RS,10/30/2006,641420,4841000,0
5032,MCB-U,D3.RS,9/25/1997,639570,4850100,1
5119,BWC-S,F12.RS,7/20/2015,642870,4840200,0
5134,BWC-S,F64A.RS,9/24/2015,733825,4660285,0
5159,BWC-S,F2.RS,7/11/2017,539895,4935745,NA
5179,IMP-S,F13.RS,8/7/2017,643170,4835200,0
5193,BWC-S,F7.RS,9/21/2017,642170,4843850,0
5248,SCB,D9.RS,8/18/1997,582345,4912945,0
5288,BWC-S,D22.RS,8/26/1993,580245,4911695,0
5311,MCB-U,M793.7Q,9/13/1990,534660,4938090,NA
5312,MCB-W,M796.8,8/13/1992,531445,4939670,0
5429,SCB,D5.RS,10/26/2005,640920,4845450,0
5486,IMP-S,D16.RS,8/21/2006,733675,4647985,1
5542,BWC-S,F1.RS,10/10/2012,639570,4852900,0
5567,BWC-S,F10A.RS,10/7/2013,639620,4848799,0
5618,BWC-S,F3.RS,7/15/2014,717825,4676936,1
5642,BWC-S,F4.RS,7/20/2014,571595,4918395,1
5689,IMP-S,F13.RS,6/20/2016,735525,4650085,0
5717,IMP-S,H27A.RS,6/15/2016,733725,4646285,1
5734,BWC-S,F35A.RS,10/22/2008,733575,4662585,1
5803,MCB-U,D3.RS,7/10/1996,734375,4663185,1
5825,BWC-S,D16.RS,8/6/2013,643320,4842399,0
5826,MCB-U,D8.RS,10/16/2014,583945,4910945,1
5856,BWC-S,M551.3N,10/2/1990,719457,4676895,NA
5900,BWC-S,F3.RS,8/15/1994,643470,4845500,0
5944,BWC-S,F1.RS,10/7/1997,721275,4673885,1
5958,BWC-S,F6.RS,10/12/1998,733475,4662435,1
5962,MCB-W,M796.7M,9/27/1999,531610,4939625,0
5980,BWC-S,F43A.RS,7/8/2002,640870,4838850,0
5994,TWZ,M796.9M,9/25/2013,531164,4939768,0
6003,BWC-S,F4A.RS,9/12/2016,719125,4677436,1
6006,BWC-S,F9.RS,8/31/2006,733525,4661735,0
6007,BWC-S,F6.RS,10/4/2007,644020,4845150,0
6014,BWC-S,F4.RS,10/7/2013,642070,4848749,1
6027,IMP-S,M680.0J,8/7/1989,642550,4826398,NA
6235,BWC-S,F5.RS,7/15/2014,642420,4846850,0
6315,BWC-S,F6.RS,7/17/2014,644070,4844800,0
6368,BWC-S,F6.RS,8/11/2014,584795,4908145,0
6397,BWC-S,F6.RS,8/24/1994,640770,4847900,1
6402,BWC-S,F6.RS,10/24/1994,735275,4661935,0
6403,BWC-S,F4.RS,10/16/1996,640670,4847200,1
6424,BWC-S,F4.RS,8/26/1998,579595,4915295,0
6462,BWC-S,F4.RS,7/30/2001,582645,4913695,1
6477,BWC-S,F4.RS,10/7/2010,641720,4847350,0
6487,BWC-S,F62A.RS,8/18/2011,734025,4660135,1
6556,IMP-S,H37A.RS,8/17/2015,639570,4829700,0
6577,BWC-S,F52A.RS,8/17/2017,732825,4662335,1
6600,BWC-S,F7.RS,10/4/2007,642170,4843850,0
6601,BWC-S,F14A.RS,8/10/2009,540895,4935895,0
6612,BWC-S,F5.RS,9/2/2009,641970,4848900,0
6641,BWC-S,F2.RS,9/16/2009,541645,4934545,0
6709,TWZ,M556.4A,10/26/1990,712792,4681148,NA
6715,BWC-S,F7.RS,6/30/1993,738775,4649585,1
6737,IMP-S,F14.RS,7/20/1995,639620,4830250,1
6765,BWC-S,F6.RS,6/24/1996,584445,4908145,1
6780,BWC-S,F35A.RS,8/26/1996,643220,4845450,0
6818,BWC-S,F5.RS,10/6/2014,583395,4912045,1
6836,BWC-S,F8.RS,7/5/2017,640970,4841200,0
6867,BWC-S,F6A.RS,10/3/2005,543145,4935145,0
6915,BWC-S,F26A.RS,9/19/2006,576995,4915295,0
7007,BWC-S,F8.RS,9/28/2006,738675,4658585,0
7008,BWC-S,F50A.RS,8/20/2009,639320,4842250,0
7018,TWZ,M796.9M,10/25/1990,531025,4939640,NA
7042,BWC-S,M701.8C,9/9/1991,636936,4857532,NA
7077,IMP-S,H30A.RS,7/26/1995,642920,4833500,1
7112,BWC-S,F5.RS,9/3/1997,643970,4844250,0
7144,BWC-S,F8.RS,10/2/2014,641220,4842300,0
7166,IMP-S,F14.RS,9/26/2017,640620,4836250,0
7179,BWC-S,F26A.RS,10/12/2000,578095,4915145,1
7274,MCB-U,D3.RS,6/19/1997,734425,4657985,1
7286,TWZ,M796.9M,9/16/2009,531164,4939769,0
7338,BWC-S,F18A.RS,10/20/2011,643070,4845150,0
7377,BWC-S,F4.RS,9/1/2015,723725,4674186,0
7492,BWC-S,D13.RS,7/29/1993,580295,4914545,0
7522,CTR,M543.2L,9/17/1990,730102,4670688,NA
7532,MCB-U,B20A.RS,9/26/2013,735475,4656985,1
7606,BWC-S,F8.RS,7/1/2014,735375,4655785,0
7607,BWC-S,F8.RS,9/10/2014,732675,4663485,0
7608,BWC-S,F11.RS,9/7/2005,639970,4838450,0
7639,BWC-S,F3.RS,9/19/2005,717225,4676885,0
7640,BWC-S,F84A.RS,8/5/2008,580945,4912245,1
7655,BWC-S,F48A.RS,6/15/2009,736775,4658285,1
7671,BWC-S,F2.RS,8/18/2009,643920,4844850,0
7715,IMP-S,F16.RS,6/30/2010,640920,4828400,0
7750,BWC-S,M757.5W,9/18/1990,582060,4914670,NA
7753,BWC-S,F8.RS,8/5/1993,641126,4840570,1
7771,BWC-S,F12.RS,8/20/1997,639520,4835850,0
7772,BWC-S,F10.RS,9/7/1999,728625,4669885,1
7778,BWC-S,F1.RS,10/18/2004,716575,4678985,1
7789,BWC-S,F3.RS,10/27/2014,726825,4671035,0
7790,BWC-S,F1.RS,6/15/2017,638920,4856450,1
7823,BWC-S,F5.RS,8/7/2007,737425,4652385,0
7824,BWC-S,F20A.RS,8/7/2007,571345,4918395,0
7881,IMP-S,H31A.RS,8/15/2011,738375,4644035,0
7897,BWC-S,F9.RS,10/4/2004,735675,4660585,1
7969,BWC-S,F1.RS,9/11/2006,541795,4936695,0
7970,IMP-S,M525.5F,8/8/1989,734965,4645539,NA
7992,MCB-W,M694.9M,9/11/1991,641034,4848151,NA
8005,BWC-S,F6.RS,9/23/1993,571445,4918645,0
8045,IMP-S,F14.RS,10/5/1993,643170,4833350,0
8058,BWC-S,F58A.RS,10/3/2007,736325,4657635,0
8124,IMP-S,F15.RS,10/3/2011,643470,4832050,0
8163,BWC-S,F3.RS,6/17/2013,639570,4849149,0
8213,IMP-S,F14.RS,6/24/2008,738625,4649535,1
8221,BWC-S,F6.RS,8/3/2009,584595,4909145,1
8232,BWC-S,F12.RS,10/14/2010,641270,4839200,0
8255,IMP-S,F14.RS,8/20/2012,733825,4644085,1
8256,BWC-S,F10.RS,6/23/2016,738525,4656685,1
8313,BWC-S,F6.RS,8/3/2017,643570,4844350,0
8341,BWC-S,F10.RS,8/29/2017,736975,4651685,1
8355,CBW-P,M550.3L,10/23/1989,719992,4675362,NA
8380,BWC-S,F6.RS,9/10/2013,730325,4668885,1
8407,BWC-S,F6.RS,10/8/2013,732825,4668835,0
8408,BWC-S,F1.RS,10/10/2016,639170,4850300,0
8481,BWC-S,F6.RS,6/26/2017,584345,4911495,1
8485,BWC-S,F8.RS,10/16/2000,725875,4669885,0
8486,TWZ,M796.9N,8/14/2002,531144,4939869,1
8502,BWC-S,M551.3M,9/18/1989,719234,4676806,NA
8661,TWZ,M702.3C,10/18/1990,636299,4858199,NA
8830,BWC-S,F2.RS,6/26/2000,543495,4934045,1
8884,TWZ,M796.9M,10/7/2002,531013,4939618,0
9007,BWC-S,D16.RS,10/17/2007,579745,4917445,0
9008,SCB,C68A.RS,10/14/1999,530495,4938745,1
9124,SCB,D11.RS,8/5/1994,639044,4836235,1
9192,BWC-S,F4.RS,9/21/1998,640020,4840850,0
9193,UXO,F1.RS,8/9/2004,716675,4678835,1
9239,IMP-S,F16.RS,10/5/2006,642920,4834550,0
9245,BWC-S,F16.RS,8/27/2007,641570,4849700,1
9270,BWC-S,F56A.RS,9/11/2012,733475,4662485,1
9289,MCB-W,M694.7M,11/7/1989,641222,4848012,0
9328,BWC-S,F14A.RS,8/9/2004,541295,4935845,1
9495,BWC-S,F5.RS,9/19/1995,717075,4677535,1
9572,BWC-S,F11.RS,9/23/1998,643070,4841950,0
9593,BWC-S,F9.RS,7/10/2000,737225,4660535,1
