FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag
0,1,SCB,D25.RS,6/17/1999 0:00:00,750250,4467650,1
1,25,SCB,D16.RS,8/4/2016 0:00:00,743800,4454550,1
2,48,MCB-U,D4.RS,9/5/2001 0:00:00,816445,4119090,0
3,156,SCB,D15.RS,9/17/2002 0:00:00,743600,4454000,1
4,170,SCB,82275.10565,10/19/1995 0:00:00,822745,4105640,1
5,218,BWC-S,F53A.RS,10/26/2011 0:00:00,759450,4482250,0
6,299,BWC-S,F233A.RS,9/11/1998 0:00:00,745700,4457900,0
7,378,MCB-U,D7.RS,9/22/2015 0:00:00,745920,4307035,0
8,438,BWC-S,F380A.RS,9/4/2012 0:00:00,712750,4428750,1
9,456,BWC-S,F30A.RS,10/24/2013 0:00:00,781050,4493900,0
10,463,SCB,C106A.RS,10/15/1999 0:00:00,820791,4113718,1
11,573,SCB,D22.RS,7/6/1998 0:00:00,743550,4455500,1
12,598,SCB,D34.RS,8/12/2005 0:00:00,738450,4448800,1
13,616,BWC-S,F365A.RS,8/3/2009 0:00:00,781650,4494300,0
14,649,MCB-U,M070.2,10/29/1993 0:00:00,809550,4155709,1
15,719,MCB-W,M074.9E,8/30/1996 0:00:00,807535,4162651,1
16,754,SCB,D15.RS,8/31/2010 0:00:00,727170,4314185,1
17,764,SCB,D11.RS,9/30/2003 0:00:00,743650,4454750,1
18,820,TRI,BM00.7S,6/19/2000 0:00:00,808309,4164557,0
19,903,BWC-S,F54A.RS,8/17/2012 0:00:00,759550,4482100,0
20,969,SCB,C33A.RS,10/30/2001 0:00:00,704870,4307385,1
21,1027,MCB-U,D2.RS,9/13/2012 0:00:00,809995,4156590,0
22,1028,MCB-U,D32.RS,9/26/2007 0:00:00,747400,4462000,0
23,1060,MCB-U,D7.RS,10/26/2017 0:00:00,706320,4306635,0
24,1087,BWC-S,F277A.RS,10/20/2004 0:00:00,759550,4482200,0
25,1123,BWC-S,D17.RS,9/30/2013 0:00:00,736320,4310685,0
26,1124,MCB-U,D32.RS,8/4/2000 0:00:00,784600,4502100,0
27,1140,BWC-S,D24.RS,6/23/2003 0:00:00,721950,4437100,0
28,1141,BWC-S,D22.RS,6/30/2008 0:00:00,714900,4430500,1
29,1165,MCB-U,D3.RS,9/1/2017 0:00:00,816045,4146140,0
30,1178,MCB-U,D9.RS,9/24/2013 0:00:00,738250,4449349,0
31,1252,BWC-S,D32.RS,9/26/1996 0:00:00,746000,4458300,1
32,1303,IMP-S,D23.RS,10/17/2008 0:00:00,743970,4306635,1
33,1336,SCB,81775.1182,8/16/1996 0:00:00,817745,4118190,NA
34,1337,SCB,C90A.RS,7/21/1994 0:00:00,820045,4115490,1
35,1376,SCB,D11.RS,9/17/2004 0:00:00,734570,4311985,1
36,1409,BWC-S,F269A.RS,8/9/2005 0:00:00,712750,4428900,1
37,1457,BWC-S,D20.RS,7/11/2017 0:00:00,741870,4307185,0
38,1458,MCB-U,B24A.RS,8/26/1999 0:00:00,813445,4123740,1
39,1520,BWC-S,D16.RS,10/4/2004 0:00:00,727020,4314035,0
40,1521,MCB-W,M227.3W,10/21/1994 0:00:00,713145,4304994,0
41,1567,SCB,D10.RS,10/4/2006 0:00:00,810595,4129040,0
42,1568,SCB,D11.RS,8/8/1997 0:00:00,822745,4105390,0
43,1618,IMP-S,D23.RS,10/9/2007 0:00:00,746020,4305435,1
44,1628,MCB-U,D4.RS,10/29/2007 0:00:00,815145,4119890,1
45,1655,BWC-S,F170A.R,10/24/2006 0:00:00,722550,4438750,1
46,1665,BWC-S,D33.RS,10/20/1997 0:00:00,722700,4439700,0
47,1666,BWC-S,F10A.RS,7/30/1996 0:00:00,737520,4309485,1
48,1760,BWC-S,F286A.RS,7/24/1997 0:00:00,733350,4445300,1
49,1780,SCB,D16.RS,8/4/2008 0:00:00,740950,4450200,0
50,1797,SCB,D20.RS,9/10/1999 0:00:00,715350,4430900,1
51,1816,BWC-S,D29.RS,10/16/2014 0:00:00,747100,4460050,0
52,1817,BWC-S,F200A.RS,10/24/1994 0:00:00,712700,4428650,1
53,1930,BWC-S,F72A.RS,8/22/2017 0:00:00,760000,4482300,0
54,1935,MCB-U,D28.RS,7/2/2008 0:00:00,778900,4494750,1
55,1955,MCB-U,D2.RS,7/1/2016 0:00:00,739770,4311085,0
56,1975,MCB-U,D1.RS,9/23/2008 0:00:00,719720,4316385,0
57,2013,SCB,D24.RS,9/30/2015 0:00:00,714450,4430650,1
58,2097,MCB-U,D8.RS,8/13/2007 0:00:00,745420,4306535,1
59,2123,BWC-S,F36A.RS,10/15/2003 0:00:00,741820,4307235,1
60,2170,BWC-S,D24.RS,7/15/2002 0:00:00,722550,4438750,1
61,2260,BWC-S,D17.RS,10/20/1997 0:00:00,739020,4309385,1
62,2305,SCB,D5.RS,7/13/1999 0:00:00,807695,4168290,0
63,2306,TRI,BM00.7S,10/26/2009 0:00:00,808309,4164557,1
64,2312,MCB-U,D7.RS,10/30/2002 0:00:00,723850,4444500,1
65,2332,SCB,D11.RS,7/5/2016 0:00:00,704920,4307385,1
66,2401,SCB,D20.RS,10/23/1995 0:00:00,715850,4431000,1
67,2429,BWC-S,F29A.RS,9/17/2013 0:00:00,775600,4493950,0
68,2513,BWC-S,F404A.RS,10/26/2000 0:00:00,746400,4458750,1
69,2648,BWC-S,D17.RS,6/20/2008 0:00:00,724450,4441500,1
70,2709,SCB,D10.RS,10/7/2011 0:00:00,816595,4138340,1
71,2738,BWC-S,D27.RS,6/28/2013 0:00:00,759450,4482600,1
72,2780,IMP-S,D24.RS,9/3/2003 0:00:00,744120,4306485,1
73,2858,SCB,D33.RS,10/17/2000 0:00:00,738400,4449050,1
74,2870,BWC-S,F3A.RS,7/29/2003 0:00:00,737920,4309435,1
75,2888,SCB,D10.RS,9/27/2001 0:00:00,730120,4312385,0
76,2979,BWC-S,D16.RS,6/17/2002 0:00:00,735819,4312596,1
77,2991,MCB-U,D8.RS,7/25/1996 0:00:00,763900,4486500,0
78,3008,BWC-S,D29.RS,8/11/2005 0:00:00,760700,4481100,0
