FID,Field1,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
0,1,BWC-S,M536.9M,9/20/1989 0:00:00,733888,4663573,NA,9891,7.974255174200000
1,143,BWC-S,F12.RS,10/18/1994 0:00:00,639120,4842100,0,6145,43.323506679799998
2,144,BWC-S,F8.RS,10/24/1994 0:00:00,735325,4660985,1,9848,0.000000000000000
3,187,BWC-S,F2.RS,6/25/1996 0:00:00,584495,4911045,1,4636,0.000000000000000
4,188,BWC-S,M701.8C,9/3/1996 0:00:00,636936,4857532,0,5998,0.000000000000000
5,287,BWC-S,F10.RS,10/7/1996 0:00:00,733725,4668985,1,8870,8.167275751660000
6,318,BWC-S,F81A.RS,7/7/2004 0:00:00,732525,4662835,1,9868,4.220509702880000
7,365,BWC-S,F2.RS,8/23/2004 0:00:00,638920,4855150,0,8275,37.857824928500001
8,411,BWC-S,F6.RS,10/4/2004 0:00:00,581995,4915345,0,1082,29.751833727899999
9,426,BWC-S,F29A.RS,8/22/2005 0:00:00,642570,4846150,0,8083,1.415173437190000
10,457,IMP-S,F13.RS,10/9/1996 0:00:00,642670,4836800,1,6456,12.708998824100000
11,477,MCB-W,M796.7M,9/5/2006 0:00:00,531612,4939621,0,1939,49.341312998200003
12,511,MCB-U,D5.RS,7/13/1995 0:00:00,584545,4909345,1,4704,16.799407854700000
13,536,MCB-W,M696.8I,8/27/1991 0:00:00,639499,4850832,NA,5896,60.373609393599999
14,586,MCB-W,M796.7M,9/12/2017 0:00:00,531612,4939621,1,1939,49.341312998200003
15,627,BWC-S,D10.RS,7/3/2007 0:00:00,726225,4669485,0,13327,7.022448461940000
16,631,BWC-S,F7.RS,6/25/2002 0:00:00,640870,4843000,0,4800,0.000000000000000
17,646,BWC-S,F75A.RS,8/3/2004 0:00:00,580295,4915595,0,224,20.200804962799999
18,655,BWC-S,F6.RS,10/19/2004 0:00:00,642420,4845150,0,4872,0.000000000000000
19,656,BWC-S,F8.RS,8/2/2005 0:00:00,738775,4649535,1,8937,56.875815928500003
20,669,BWC-S,F89A.RS,9/23/1993 0:00:00,638970,4837650,0,6761,0.000000000000000
21,763,MCB-W,M796.8M,6/20/1994 0:00:00,531445,4939670,0,1939,20.105409224100001
22,764,BWC-S,F12.RS,6/25/1996 0:00:00,639120,4842100,1,6145,43.323506679799998
23,775,BWC-S,M690.5D,8/9/1989 0:00:00,639245,4841945,NA,4852,104.165676350000000
24,814,TWZ,M702.3A,11/13/1990 0:00:00,635988,4857754,NA,5990,0.000000000000000
25,815,MCB-W,M796.7M,8/22/1991 0:00:00,531610,4939625,NA,1939,52.542051957300004
26,816,BWC-S,M701.8C,7/7/1994 0:00:00,636936,4857532,1,5998,0.000000000000000
27,833,IMP-S,F11.RS,8/18/1994 0:00:00,736275,4652785,0,11376,0.000000000000000
28,852,BWC-S,F8.RS,9/29/1997 0:00:00,726725,4670535,0,11567,28.371813402499999
29,853,BWC-S,F87A.RS,8/6/2007 0:00:00,581145,4914495,0,329,32.981325273400003
30,889,BWC-S,F1.RS,7/6/2010 0:00:00,643070,4845850,0,5252,2.914185794700000
31,904,BWC-S,F4.RS,9/2/2014 0:00:00,643820,4845450,0,5077,0.000000000000000
32,915,BWC-S,F9.RS,10/13/1997 0:00:00,644170,4845100,0,5079,0.000000000000000
33,916,BWC-S,F7.RS,9/20/1999 0:00:00,736425,4660835,0,13378,14.964276710900000
34,922,BWC-S,F8.RS,9/6/2000 0:00:00,638920,4837550,0,4922,29.314409011599999
35,927,BWC-S,F5.RS,8/28/2000 0:00:00,727025,4670135,1,11556,26.483169952000001
36,934,TWZ,M796.9M,8/8/2005 0:00:00,531013,4939618,0,786,0.000000000000000
37,968,BWC-S,F6A.RS,9/2/2008 0:00:00,643720,4844850,0,4866,0.000000000000000
38,986,IMP-S,F14.RS,9/15/2008 0:00:00,736325,4642985,0,10543,34.952077493200001
39,995,IMP-S,F12.RS,10/9/2008 0:00:00,642970,4834900,0,5468,42.723012904800001
40,1011,BWC-S,M757.5T,7/31/1990 0:00:00,581650,4914235,NA,329,66.248913183699997
41,1066,BWC-S,F9.RS,8/3/1995 0:00:00,641220,4843000,0,5218,0.000000000000000
42,1091,BWC-S,F8A.RS,6/17/1997 0:00:00,641270,4842700,0,7874,19.333966344299998
