FID,RowID_,stratum,lcode,sdate,utm_e,utm_n,snag,NEAR_FID,NEAR_DIST
0,1,SCB,D25.RS,6/17/1999 0:00:00,750250,4467650,1,22729,19.119274601800001
1,25,SCB,D16.RS,8/4/2016 0:00:00,743800,4454550,1,22686,33.460008255299996
2,48,MCB-U,D4.RS,9/5/2001 0:00:00,816445,4119090,0,5550,0.000000000000000
3,156,SCB,D15.RS,9/17/2002 0:00:00,743600,4454000,1,22683,18.830525058199999
4,170,SCB,82275.10565,10/19/1995 0:00:00,822745,4105640,1,5750,90.931680792700007
5,218,BWC-S,F53A.RS,10/26/2011 0:00:00,759450,4482250,0,24929,38.871328066799997
6,299,BWC-S,F233A.RS,9/11/1998 0:00:00,745700,4457900,0,24435,6.540621153620000
7,378,MCB-U,D7.RS,9/22/2015 0:00:00,745920,4307035,0,2427,12.895930547300001
8,438,BWC-S,F380A.RS,9/4/2012 0:00:00,712750,4428750,1,26470,8.419431683779999
9,456,BWC-S,F30A.RS,10/24/2013 0:00:00,781050,4493900,0,23235,11.249298166999999
10,463,SCB,C106A.RS,10/15/1999 0:00:00,820791,4113718,1,4970,37.661056241099999
11,573,SCB,D22.RS,7/6/1998 0:00:00,743550,4455500,1,23957,8.077040639120000
12,598,SCB,D34.RS,8/12/2005 0:00:00,738450,4448800,1,22658,25.359575860200000
13,616,BWC-S,F365A.RS,8/3/2009 0:00:00,781650,4494300,0,23239,20.419896988900000
14,649,MCB-U,M070.2,10/29/1993 0:00:00,809550,4155709,1,5942,35.707353797099998
15,719,MCB-W,M074.9E,8/30/1996 0:00:00,807535,4162651,1,5951,36.164898159499998
16,754,SCB,D15.RS,8/31/2010 0:00:00,727170,4314185,1,1919,41.987869091699999
17,764,SCB,D11.RS,9/30/2003 0:00:00,743650,4454750,1,23085,18.992722074300001
18,820,TRI,BM00.7S,6/19/2000 0:00:00,808309,4164557,0,5957,0.000000000000000
19,903,BWC-S,F54A.RS,8/17/2012 0:00:00,759550,4482100,0,22422,107.037687546000000
20,969,SCB,C33A.RS,10/30/2001 0:00:00,704870,4307385,1,1848,17.575060317999998
21,1027,MCB-U,D2.RS,9/13/2012 0:00:00,809995,4156590,0,5441,90.964998437199995
22,1028,MCB-U,D32.RS,9/26/2007 0:00:00,747400,4462000,0,22708,43.453576704299998
23,1060,MCB-U,D7.RS,10/26/2017 0:00:00,706320,4306635,0,1633,58.319418013400004
24,1087,BWC-S,F277A.RS,10/20/2004 0:00:00,759550,4482200,0,24929,52.981635679400000
25,1123,BWC-S,D17.RS,9/30/2013 0:00:00,736320,4310685,0,1885,15.496127201900000
26,1124,MCB-U,D32.RS,8/4/2000 0:00:00,784600,4502100,0,26741,38.642843473799999
27,1140,BWC-S,D24.RS,6/23/2003 0:00:00,721950,4437100,0,22067,6.585300000380000
28,1141,BWC-S,D22.RS,6/30/2008 0:00:00,714900,4430500,1,22924,32.850626214099997
29,1165,MCB-U,D3.RS,9/1/2017 0:00:00,816045,4146140,0,5914,69.524135681199994
30,1178,MCB-U,D9.RS,9/24/2013 0:00:00,738250,4449349,0,22258,62.477375296399998
31,1252,BWC-S,D32.RS,9/26/1996 0:00:00,746000,4458300,1,24435,55.857342988299997
32,1303,IMP-S,D23.RS,10/17/2008 0:00:00,743970,4306635,1,2554,35.615044257999998
33,1336,SCB,81775.1182,8/16/1996 0:00:00,817745,4118190,NA,9427,58.436761811099998
34,1337,SCB,C90A.RS,7/21/1994 0:00:00,820045,4115490,1,5343,6.227135597220000
35,1376,SCB,D11.RS,9/17/2004 0:00:00,734570,4311985,1,2658,12.567029627100000
36,1409,BWC-S,F269A.RS,8/9/2005 0:00:00,712750,4428900,1,26470,45.650137238799999
37,1457,BWC-S,D20.RS,7/11/2017 0:00:00,741870,4307185,0,1107,33.042377849399998
38,1458,MCB-U,B24A.RS,8/26/1999 0:00:00,813445,4123740,1,5357,248.274588763999990
39,1520,BWC-S,D16.RS,10/4/2004 0:00:00,727020,4314035,0,2825,0.000000000000000
40,1521,MCB-W,M227.3W,10/21/1994 0:00:00,713145,4304994,0,2569,46.454715306899999
41,1567,SCB,D10.RS,10/4/2006 0:00:00,810595,4129040,0,5857,65.284858297000000
42,1568,SCB,D11.RS,8/8/1997 0:00:00,822745,4105390,0,7608,54.921986805000003
43,1618,IMP-S,D23.RS,10/9/2007 0:00:00,746020,4305435,1,2554,43.214913509600002
44,1628,MCB-U,D4.RS,10/29/2007 0:00:00,815145,4119890,1,5828,60.530823881300002
45,1655,BWC-S,F170A.R,10/24/2006 0:00:00,722550,4438750,1,22368,39.951109779299998
46,1665,BWC-S,D33.RS,10/20/1997 0:00:00,722700,4439700,0,23828,37.894392400199997
47,1666,BWC-S,F10A.RS,7/30/1996 0:00:00,737520,4309485,1,1876,37.014779636500002
48,1760,BWC-S,F286A.RS,7/24/1997 0:00:00,733350,4445300,1,23037,12.877455489100001
49,1780,SCB,D16.RS,8/4/2008 0:00:00,740950,4450200,0,23079,21.966538461700001
50,1797,SCB,D20.RS,9/10/1999 0:00:00,715350,4430900,1,22496,66.238052363600005
51,1816,BWC-S,D29.RS,10/16/2014 0:00:00,747100,4460050,0,23965,1.745503698860000
52,1817,BWC-S,F200A.RS,10/24/1994 0:00:00,712700,4428650,1,26470,42.934137057000001
53,1930,BWC-S,F72A.RS,8/22/2017 0:00:00,760000,4482300,0,22308,35.443156956499998
54,1935,MCB-U,D28.RS,7/2/2008 0:00:00,778900,4494750,1,24094,36.177107118300000
55,1955,MCB-U,D2.RS,7/1/2016 0:00:00,739770,4311085,0,2550,28.704851013300001
56,1975,MCB-U,D1.RS,9/23/2008 0:00:00,719720,4316385,0,1939,23.632388308100001
57,2013,SCB,D24.RS,9/30/2015 0:00:00,714450,4430650,1,22496,13.991374940700000
