OBJECTID,Join_Count,TARGET_FID,Field1,stratum,lcode,sdate,utm_e,utm_n,snag,RIVER_MILE
1,1,0,1,BWC-S,M536.9M,9/20/1989 0:00:00,733888,4663573,NA,536
2,1,1,143,BWC-S,F12.RS,10/18/1994 0:00:00,639120,4842100,0,690
3,1,2,144,BWC-S,F8.RS,10/24/1994 0:00:00,735325,4660985,1,535
4,1,3,187,BWC-S,F2.RS,6/25/1996 0:00:00,584495,4911045,1,755
5,1,4,188,BWC-S,M701.8C,9/3/1996 0:00:00,636936,4857532,0,701
6,1,5,287,BWC-S,F10.RS,10/7/1996 0:00:00,733725,4668985,1,541
7,1,6,318,BWC-S,F81A.RS,7/7/2004 0:00:00,732525,4662835,1,536
8,1,7,365,BWC-S,F2.RS,8/23/2004 0:00:00,638920,4855150,0,700
9,1,8,411,BWC-S,F6.RS,10/4/2004 0:00:00,581995,4915345,0,758
10,1,9,426,BWC-S,F29A.RS,8/22/2005 0:00:00,642570,4846150,0,693
11,1,10,457,IMP-S,F13.RS,10/9/1996 0:00:00,642670,4836800,1,687
12,1,11,477,MCB-W,M796.7M,9/5/2006 0:00:00,531612,4939621,0,796
13,1,12,511,MCB-U,D5.RS,7/13/1995 0:00:00,584545,4909345,1,753
14,1,13,536,MCB-W,M696.8I,8/27/1991 0:00:00,639499,4850832,NA,696
15,1,14,586,MCB-W,M796.7M,9/12/2017 0:00:00,531612,4939621,1,796
16,1,15,627,BWC-S,D10.RS,7/3/2007 0:00:00,726225,4669485,0,545
17,1,16,631,BWC-S,F7.RS,6/25/2002 0:00:00,640870,4843000,0,691
18,1,17,646,BWC-S,F75A.RS,8/3/2004 0:00:00,580295,4915595,0,759
19,1,18,655,BWC-S,F6.RS,10/19/2004 0:00:00,642420,4845150,0,692
20,1,19,656,BWC-S,F8.RS,8/2/2005 0:00:00,738775,4649535,1,527
21,1,20,669,BWC-S,F89A.RS,9/23/1993 0:00:00,638970,4837650,0,687
22,1,21,763,MCB-W,M796.8M,6/20/1994 0:00:00,531445,4939670,0,796
