FID,OBJECTID_1,OBJECTID,Perimeter,Area,Acres,Hectares,LCU_C1,LCU_N1,LCU_C2,LCU_N2,COVER_C,COVER_N,HEIGHT_C1,HEIGHT_C2,HEIGHT_N,CLASS_31,CLASS_31_N,CLASS_31_D,CLASS_15_C,CLASS_15_N,CLASS_7_C,CLASS_7_N,HNA_C1,HNA_C2,HNA_N1,HYDRO_C1,HYDRO_C2,HYDRO_N,HYD_REG_C,HYD_REG_N,LAND_WATER,NVCS2_CODE,NVCS2_DESC,Shape_Leng,Shape_Le_1,Shape_Area
0,2472,2472,48971.485763400000000,17247442.008299999000000,2.749630459960000,1.112735968610000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1243.875738389999900,1243.875738389999900,11127.359685800000000
1,2473,2473,20462.498845499998000,13560593.924200000000000,2.161863892100000,0.874875277610000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,519.747470666000030,519.747470666000030,8748.752776069999500
2,2474,2474,66542.576243500007000,116958138.308000000000000,18.645759729200002,7.545671251060000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1690.181436580000100,1690.181436580000100,75456.712511000005000
3,2475,2475,41659.882665899997000,108378087.826000010000000,17.277906563399998,6.992120714160000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1058.161019709999900,1058.161019709999900,69921.207141299994000
4,2476,2476,43655.220363599998000,14427509.869700000000000,2.300069806280000,0.930805226751000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1108.842597229999900,1108.842597229999900,9308.052267389999500
5,2477,2477,70469.829616400006000,59317622.250299998000000,9.456564102240000,3.826935717100000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1789.933672240000100,1789.933672240000100,38269.357171099997000
6,2478,2478,40530.786741099997000,34468506.745600000000000,5.495055789210000,2.223770181200000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1029.481983220000100,1029.481983220000100,22237.701812100000000
7,2479,2479,33692.045799799998000,15622357.312400000000000,2.490555382160000,1.007892004360000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,855.777963320000030,855.777963320000030,10078.920043500000000
8,2480,2480,158373.782114000000000,156265291.333000000000000,24.912204643100001,10.081611535600000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,4022.694065709999900,4022.694065709999900,100816.115357000000000
9,2481,2481,33202.279529500003000,28891188.915100001000000,4.605905793270000,1.863943944050000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,843.337900053999990,843.337900053999990,18639.439440400001000
10,2482,2482,164317.000896000010000,129140792.962000000000000,20.587949087100000,8.331647398720000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,4173.651822740000200,4173.651822740000200,83316.473987100006000
11,2483,2483,151412.352137999990000,108217532.966000010000000,17.252310504899999,6.981762356810000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,3845.873744309999900,3845.873744309999900,69817.623567300005000
12,2484,2484,55349.276238500002000,108594163.890000000000000,17.312353951399999,7.006061077510000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1405.871616469999900,1405.871616469999900,70060.610774899993000
13,2485,2485,175850.542670000000000,58209898.436200000000000,9.279967993730001,3.755469807510000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,4466.603783829999900,4466.603783829999900,37554.698075300003000
14,2486,2486,25185.783307700000000,32019133.115300000000000,5.104570502260000,2.065746392070000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,639.718896015000040,639.718896015000040,20657.463920700000000
15,2487,2487,34174.866541900003000,36883947.490000002000000,5.880131410380000,2.379604756270000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,868.041610160999990,868.041610160999990,23796.047562799999000
16,2488,2488,63777.261577700003000,8446766.527480000600000,1.346604703520000,0.544951589287000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,1619.942444070000000,1619.942444070000000,5449.515893159999900
17,2489,2489,21020.962616400000000,14633144.479699999000000,2.332852591530000,0.944071949254000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,533.932450454999980,533.932450454999980,9440.719492700000000
18,2490,2490,37792.796952800003000,79485548.837599993000000,12.671785538100000,5.128089668810000,OW,Open Water,Ow,Water, , ,0.000000000000000, , ,Ow,Open water,"Open water - nonvegetated (includes river channels, lakes, and ponds)",Ow,Open water,Ow,Open water,1.000000000000000,Ow,Open water,1.000000000000000,PfNf,Permanently flooded non-forest,Pf,Permanently flooded,Water,n/a,n/a,959.937042592000010,959.937042592000010,51280.896688000001000
