RowID,stratum,lcode,sdate,utm_e,utm_n,snag
1724,MCB-U,D7.RS,8/17/2015,285389,4112048,0
1815,MCB-W,M053.0E,7/15/2010,278085,4132448,0
2546,TWZ,I157.8V,9/20/2002,277614,4500738,0
2652,MCB-U,D2.RS,9/26/2002,282086,4123834,0
2713,MCB-W,M044.4W,8/23/2012,281126,4122599,0
3060,MCB-U,D7.RS,10/26/2015,278951,4133147,0
3078,TWZ,I157.8Vb,7/2/2008,277614,4500738,1
3670,MCB-W,M050.1E,7/12/2012,276230,4127998,0
4284,MCB-U,D6.RS,7/23/2015,285624,4110673,1
4835,TWZ,I157.8V,8/3/2006,277614,4500738,0
6131,MCB-W,M034.1W,8/29/2012,287921,4108242,0
6893,MCB-U,D8.RS,8/28/2015,286267,4110140,0
9372,MCB-W,M041.0W,10/29/2012,282046,4117222,0
9853,TWZ,I157.8V,9/4/2003,277614,4500738,0
10505,TWZ,I157.8V,7/1/2004,277614,4500738,1
10587,SCB,80765.16795,7/24/1995,278196,4165257,1
11255,TWZ,I157.8Va,8/11/2016,277614,4500738,0
12423,TWZ,I157.8V,8/2/2004,277614,4500738,0
13912,MCB-W,M049.9E,7/18/2017,276435,4127131,0
14046,MCB-W,M039.6E,8/17/2015,283684,4115369,0
16086,TWZ,I157.8Vb,10/27/2008,277614,4500738,0
16304,MCB-W,M031.2E,9/1/2004,288320,4103950,0
16318,MCB-W,M044.4W,9/13/2007,281126,4122599,0
16581,TWZ,I157.8Va,6/16/2008,277614,4500738,0
17373,MCB-W,M073.3E,10/19/2015,277938,4157050,0
17906,MCB-W,M040.5W,10/29/2007,282506,4116644,1
18273,MCB-W,M040.5W,10/23/2008,282506,4116644,0
19349,TWZ,I157.8Vb,10/17/2012,277614,4500738,0
19542,MCB-W,M067.3E,10/18/2013,282219,4148804,0
19647,TWZ,I157.8V,9/28/2007,277614,4500738,0
19826,MCB-W,M079.3E,6/15/2003,279036,4166764,0
20469,MCB-W,M061.0W,10/13/2017,285494,4140149,0
20785,MCB-W,M061.9W,8/17/2012,285245,4141355,0
21193,MCB-W,M063.2E,10/17/2008,285334,4143410,0
21650,TWZ,I157.8Vb,10/6/2015,277614,4500738,0
22310,SCB,D14.RS,9/17/2015,286769,4111952,0
22337,TWZ,I157.8V,10/27/2000,277614,4500738,0
22809,TWZ,I157.8Vb,7/24/2014,277614,4500738,0
22977,TWZ,I157.8V,8/7/2001,277614,4500738,0
23485,TWZ,I157.8Vb,9/7/2016,277614,4500738,0
23630,MCB-W,M071.3E,7/2/2012,279416,4154144,0
24367,MCB-U,D5.RS,9/24/2015,283490,4135737,1
24691,TRI,HD00.9M,8/9/2001,275800,4124800,1
