"","FID","Join_Count","TARGET_FID","Field1","barcode","stratum","lcode","sdate","utm_e","utm_n","snag","OBJECTID","uniq_id","aa_num","AQUA_CODE","AQUA_DESC","pool","Area","Perimeter","bath_pct","max_depth","avg_depth","sd_depth","tot_vol","area_gt50","area_gt100","area_gt200","area_gt300","avg_fetch","shoreline_density_index","econ","sill","min_rm","max_rm","len_met","len_prm_lotic","pct_prm_lotic","num_lotic_outl","len_prm_lentic","pct_prm_lentic","num_lentic_outl","pct_aqveg","pct_opwat","len_terr","pct_terr","pct_aq","len_wetf","pct_prm_wetf","pct_terr_shore_wetf","len_wd","wdl_p_m2","num_wd","scour_wd","psco_wd","len_revln","rev_p_m2","num_rev","pct_terr_shore_rev","pct_prm_rev","area_tpi1","pct_tpi1","area_tpi2","pct_tpi2","area_tpi3","pct_tpi3","area_tpi4","pct_tpi4","sinuosity","year_phot","RIVER_MILE","NEAR_TERR_FID.p","NEAR_TERR_DIST.p","NEAR_TERR_CLASS_31.p","NEAR_TERR_CLASS_15.p","NEAR_TERR_CLASS_7.p","NEAR_TERR_CLASS_31_N.p","NEAR_TERR_CLASS_15_N.p","NEAR_TERR_CLASS_7_N.p","NEAR_TERR_HEIGHT_N.p","NEAR_FOREST_FID.p","NEAR_FOREST_DIST.p","NEAR_FOREST_CLASS_31.p","NEAR_FOREST_CLASS_15.p","NEAR_FOREST_CLASS_7.p","NEAR_FOREST_CLASS_31_N.p","NEAR_FOREST_CLASS_15_N.p","NEAR_FOREST_CLASS_7_N.p","NEAR_FOREST_HEIGHT_N.p","year.p","sitetype.p","depth.p","current.p","gear.p","stageht.p","substrt.p","wingdyke.p","riprap.p","trib.p","snagyn","area_le50","area_le100","area_le200","area_le300","pct_area_le100","pct_area_le50","pct_area_le200","pct_area_le300","stratum_name"
"1",12,1,12,511,11000972,"MCB-U","D5.RS","7/13/1995 0:00:00",584545,4909345,1,3505,"P04_SC_4",4,"SC","Side Channel","4",778914.392074,5161.88647346,99.4878266322,11.6,3.43054187192,1.65980661193,2663730,772211.90778,743336.636715,608912.067436,489409.749004,NA,1.64990391298,NA,NA,752.688781738,753.971496582,2064.32430704,1016.73726216,19.6970093664,2,2586.72137399,50.11193848,5,1.57503870641,98.4249612936,1558.42787106,30.1910528074,69.8089471926,365.251416858,7.07592890188,30.1910528074,0,0,0,0,0,875.511109506,0.0011240145495,6,56.1791229331,42.4115099803,15979,2.051444955,732397,94.0279198141,16281,2.09021686666,12416,1.59401342771,0.0203400146732,2010,753,4704,16.7994078547,"Wms","WtSh","Fo","Wet meadow shrub","Wet shrub","Forest"," ",136,327.781937852,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",1995,"0",0.7,0,"D",666.6,"3","0","0","0","yes",6702.48429399997,35577.7553589999,170002.324638,289504.64307,0.0456760790672615,0.00860490493204702,0.218255467311803,0.371677100867454,"Main Channel Border--Unstructured"
"2",57,1,57,1402,11003678,"SCB","D8.RS","6/29/2001 0:00:00",540045,4936095,1,3509,"P04_SC_8",8,"SC","Side Channel","4",1984032.25666,24188.7775897,91.6996179822,5.77,1.67445744783,0.965336812632,3051154.5,1926714.11435,1634218.82858,840212.314274,428739.496266,NA,4.84434009385,NA,NA,785.839050293,793.486022949,12306.5789742,723.388676454,2.99059625387,4,1393.46238798,5.76078052234,18,2.28790123233,97.7120987677,21511.1735484,88.9303871129,11.0696128871,15052.6524498,62.2299014242,88.9303871129,186.879266616,9.4191647333e-05,1,1,100,0,0,0,0,0,13130,0.661783595298,1864035,93.9518495096,51597,2.60061296014,40026,2.01740671633,0.18656207036,2010,788,189,36.8749732902,"Dmp","Dm","Ma","Deep marsh perennial","Deep marsh","Marsh"," ",1619,50.9534563293,"SxCm","WtFo","Fo","Salix community","Wet forest","Forest","20-50 feet",2001,"0",1.8,0.3,"D",NA,"3","0","0","0","yes",57318.14231,349813.42808,1143819.942386,1555292.760394,0.176314385467145,0.0288897229959818,0.576512775206363,0.783904976934318,"Side Channel Border"
"3",82,1,82,2494,11006781,"SCB","D16.RS","8/19/2014 0:00:00",585245,4908595,1,3505,"P04_SC_4",4,"SC","Side Channel","4",778914.392074,5161.88647346,99.4878266322,11.6,3.43054187192,1.65980661193,2663730,772211.90778,743336.636715,608912.067436,489409.749004,NA,1.64990391298,NA,NA,752.688781738,753.971496582,2064.32430704,1016.73726216,19.6970093664,2,2586.72137399,50.11193848,5,1.57503870641,98.4249612936,1558.42787106,30.1910528074,69.8089471926,365.251416858,7.07592890188,30.1910528074,0,0,0,0,0,875.511109506,0.0011240145495,6,56.1791229331,42.4115099803,15979,2.051444955,732397,94.0279198141,16281,2.09021686666,12416,1.59401342771,0.0203400146732,2010,753,272,81.2658916023,"Dmp","Dm","Ma","Deep marsh perennial","Deep marsh","Marsh"," ",354,111.638826613,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2014,"0",1.9,0.02,"D",NA,"3","0","0","0","yes",6702.48429399997,35577.7553589999,170002.324638,289504.64307,0.0456760790672615,0.00860490493204702,0.218255467311803,0.371677100867454,"Side Channel Border"
"4",88,1,88,2655,11006552,"MCB-W","M760.9W","9/10/2013 0:00:00",576050,4915600,0,3569,"P04_SCB_22",22,"SCB","Structured Channel Border","4",175534.895855,3532.01740267,97.3310743529,7.2,2.45050741495,1.36882133311,421364.75,171353.526844,155022.657155,112089.375494,71615.06518,NA,2.37813316599,NA,NA,760.405883789,761.454284668,1687.23347061,NA,NA,NA,82.0354205924,2.32262220821,3,8.3174342e-08,99.9999999168,1380.59854624,39.0881014685,60.9118985315,1112.66703434,31.5023089495,80.5930903933,926.229654706,0.0052766126655,7,4,57.1428571429,0,0,0,0,0,1001,0.570256982308,146187,83.280876596,11460,6.52861640085,14059,8.00923368059,0.0163252144398,2010,760,1214,56.0918887049,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",447,56.0918887049,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2013,"1",0.8,0.18,"D",NA,"4","1","0","0","no",4181.369011,20512.2387,63445.520361,103919.830675,0.116855617796612,0.0238207280132721,0.361441068751418,0.592018072354358,"Main Channel Border--Wing Dam Area"
"5",98,1,98,3040,11006085,"SCB","D12.RS","10/4/2011 0:00:00",582445,4911645,0,3528,"P04_SC_27",27,"SC","Side Channel","4",608467.101773,6980.61824972,99.565777383,4.78,1.7384631874,0.797426091347,1054291,602661.85852,509467.767054,213008.283727,65050.0957455,NA,2.52447111151,NA,NA,755.104003906,756.930480957,2939.42257726,1758.98979902,25.1981950036,4,3150.64977532,45.1342511882,2,0.210297853125,99.7897021469,2070.97868932,29.6675540079,70.3324459921,73.6399527337,1.05492021049,29.6675540079,464.075362417,0.000762695897715,2,0,0,2.72119855696,4.472219696e-06,1,0.13139674353,0.0925759561763,2428,0.399035542419,591390,97.1934223357,10652,1.75062874705,2210,0.363207804261,0.152735087119,2010,755,649,42.834554931,"Dv","Dv","Dv","Developed","Developed","Developed"," ",1873,130.505329168,"Uf","Uf","Fo","Upland forest","Upland forest","Forest",">50 feet",2011,"0",2.2,0.23,"D",NA,"3","0","1","0","no",5805.24325299996,98999.334719,395458.818046,543417.0060275,0.162702855142912,0.00954076767023917,0.649926375466612,0.893091844150732,"Side Channel Border"
"6",103,1,103,3240,11003378,"BWC-S","D17.RS","8/21/2000 0:00:00",583545,4912645,1,2092,"P04_CFL_258",2092,"CFL","Contiguous Floodplain Lake","4",375986.194725,10168.9395136,96.519501272,7.86,1.00742667215,1.28129768502,362085,178012.529735,81942.9730218,47325.9803501,30386.0030206,0.142672751487,4.67826461299,53.1113931956,0,755.436523438,756.527282715,1755.40253485,896.451598523,8.81558590573,3,0,0,0,98.8207390988,1.1792609012,9272.48791505,91.184414094,8.81558590599,8453.40024354,83.129614767,91.1664735612,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,756,1164,22.3378071754,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",397,22.3378071754,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2000,"0",0.6,0.04,"D",NA,"1","0","0","0","yes",197973.66499,294043.2217032,328660.2143749,345600.1917044,0.782058559140093,0.526545037470857,0.874128409462707,0.919183194896758,"Backwater, Contiguous Shoreline"
"7",110,1,110,3522,11005140,"SCB","D10.RS","10/23/2007 0:00:00",584045,4911545,1,3532,"P04_TSC_31",31,"TSC","Tertiary Channel","4",230142.886592,5243.04950009,98.808181025,7.93,1.9640120614,1.36082267988,447794.75,221888.04651,175440.823915,94999.8462738,49905.0747813,NA,3.08304772743,NA,NA,754.390075684,755.552307129,1870.4255537,1038.3063294,19.8034813401,6,3162.68674941,60.3215123061,11,38.4375068015,61.5624931985,1042.0564051,19.8750060453,80.1249939547,864.712594893,16.4925506593,19.8750060453,0,0,0,0,0,0,0,0,0,0,14538,6.31694518796,193996,84.2937198159,16549,7.19075016615,3180,1.38175028874,0.283331450507,2010,755,1156,36.5984515031,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",389,36.5984515031,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2007,"0",0.8,0.23,"D",NA,"2","0","0","0","yes",8254.84008200001,54702.062677,135143.0403182,180237.8118107,0.237687392762986,0.0358683259962507,0.587213632015415,0.783156127394142,"Side Channel Border"
"8",111,1,111,3553,11004504,"BWC-S","D15.RS","9/8/2004 0:00:00",541345,4934595,1,1837,"P04_CFL_3",1837,"CFL","Contiguous Floodplain Lake","4",164330.599181,3072.34106964,83.1251152742,2.25,1.0492691817,0.509161227625,141893,112283.389515,78041.159532,464.75710867,0,0.168731355263,2.13798805861,0,0,787.305419922,788.14453125,1350.4154246,233.474565128,7.59923979258,1,0,0,0,13.2319624223,86.7680375777,2838.86650451,92.4007602074,7.59923979265,1960.73830434,63.8190311524,69.067647289,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,787,1445,68.2587049986,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",678,68.2587049986,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2004,"0",0.9,0,"D",NA,"4","0","0","0","yes",52047.209666,86289.439649,163865.84207233,164330.599181,0.525096604521946,0.316722569779431,0.997171816381208,1,"Backwater, Contiguous Shoreline"
"9",146,1,146,4937,11004756,"MCB-U","D6.RS","10/14/2005 0:00:00",582595,4912245,1,3568,"P04_SCB_21",21,"SCB","Structured Channel Border","4",1895752.94995,21609.4745128,98.7562751808,10.8,2.44333386562,1.17689892784,4590230.25,1858696.98294,1705378.99561,1254726.44163,629206.339366,NA,4.42739636142,NA,NA,753.2578125,759.753173828,10453.2447996,NA,NA,NA,1765.55142891,8.17026544474,11,4.22581548941,95.7741845106,6155.59611846,28.4856353856,71.5143646144,1482.48344776,6.86034011092,24.0835074172,8083.25952711,0.00426387812153,51,7,13.7254901961,283.255547066,0.000149415854568,1,4.60159408796,2.70973800477,8154,0.430119335972,1807745,95.3576255834,34053,1.79627836005,29031,1.53137042465,0.0688225464026,2010,756,3394,35.171315423,"Ss","Ss","Fo","Shrub/scrub","Shrub/scrub","Forest"," ",1777,38.2054921967,"Uf","Uf","Fo","Upland forest","Upland forest","Forest",">50 feet",2005,"0",1.7,0.75,"D",NA,"3","0","0","0","yes",37055.96701,190373.95434,641026.50832,1266546.610584,0.10042128872595,0.0195468333629534,0.338138209589444,0.668096869171379,"Main Channel Border--Unstructured"
"10",154,2,154,5248,11002007,"SCB","D9.RS","8/18/1997 0:00:00",582345,4912945,0,3534,"P04_SC_33",33,"SC","Side Channel","4",1120517.26283,15884.2773011,99.2733478457,9.08,2.63501424757,1.48723295703,2935998.75,1106946.82732,990714.260529,718795.041532,439355.262588,NA,4.23304857677,NA,NA,754.046447754,757.452819824,5482.01082713,3067.32424434,19.3104425603,14,9006.26810178,56.6992626171,24,5.74465913514,94.2553408649,3810.68493462,23.9902946945,76.0097053055,3488.04332947,21.9590936582,23.9902946945,531.773068809,0.000474578202808,8,4,50,461.940449465,0.000412256432621,3,12.1222419956,8.42647824004,42554,3.79771034429,995565,88.8486980991,51119,4.5620894649,25393,2.26618552363,0.328334287648,2010,756,1589,89.5255616573,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",822,89.5255616573,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",1997,"0",1,NA,"D",NA,"3","0","0","0","no",13570.43551,129803.002301,401722.221298,681162.000242,0.115842037072385,0.0121108669720324,0.358514977523329,0.607899603904044,"Side Channel Border"
