"fishdata_rownum","stratum","lcode","sdate","snag","river_mile","wingdyke","riprap","barcode","summary","zone15e","zone15n","utmzone","uniq_id","pool","perimeter","max_depth","avg_depth","tot_vol","shoreline_density_index","pct_terr","pct_prm_wetf","near_terr_dist","near_terr_class_7","near_terr_name","near_forest_dist","year","upperlower"
511,"MCB-U","D5.RS","7/13/1995 0:00:00",1,753,0,0,11000972,5,584545,4909345,15,"P04_SC_4","P04",5161.88647346,11.6,3.43054187192,2663730,1.64990391298,30.1910528074,7.07592890188,16.7994078547,"Fo","Forest",327.781937852,"1995","upper"
627,"BWC-S","D10.RS","7/3/2007 0:00:00",0,545,0,0,13005426,5,726225,4669485,15,"P13_CFL_128","P13",13905.4879505,5.9,0.709572739917,1248447,2.78721557854,98.5697232373,46.6755712861,7.02244846194,"Fo","Forest",7.02244846194,"2007","upper"
1383,"BWC-S","D7.RS","7/20/2010 0:00:00",1,551,0,0,13006463,5,718825,4676885,15,"P13_CFL_150","P13",2907.57419225,1.14,0.652070874862,86234,1.8498742265,83.1003338274,72.5117558331,22.2566800287,"Fo","Forest",22.2566800287,"2010","upper"
1402,"SCB","D8.RS","6/29/2001 0:00:00",1,788,0,0,11003678,5,540045,4936095,15,"P04_SC_8","P04",24188.7775897,5.77,1.67445744783,3051154.5,4.84434009385,88.9303871129,62.2299014242,36.8749732902,"Ma","Marsh",50.9534563293,"2001","upper"
2494,"SCB","D16.RS","8/19/2014 0:00:00",1,753,0,0,11006781,5,585245,4908595,15,"P04_SC_4","P04",5161.88647346,11.6,3.43054187192,2663730,1.64990391298,30.1910528074,7.07592890188,81.2658916023,"Ma","Marsh",111.638826613,"2014","upper"
2525,"BWC-S","F39A.RS","10/28/2015 0:00:00",1,690,0,0,12008125,5,640720,4841100,15,"P08_CFL_96","P08",3194.12165039,3.34,0.526882572227,27471,3.08195038087,80.7159269058,10.4099520829,0,"Ma","Marsh",37.6945532935,"2015","upper"
2561,"MCB-U","D4.RS","6/15/2017 0:00:00",1,522,0,1,13008815,5,735525,4642335,15,"P13_USCB_1","P13",7639.05015778,12.08,4.13978865538,3501329.75,2.33860872567,7.84409196533,0,42.3339137407,"GrFb","Grass/forbs",689.120336254,"2017","upper"
2596,"BWC-S","D14.RS","8/4/2011 0:00:00",1,531,0,0,13006781,5,735475,4654935,15,"P13_TSC_27","P13",42088.2011919,7.95,1.61799278254,5828616.75,6.18927530999,29.3264664397,15.0859696877,41.6041389212,"Fo","Forest",41.6041389212,"2011","upper"
2628,"BWC-S","F39A.RS","10/6/2006 0:00:00",1,531,0,0,13005330,5,737525,4655535,15,"P13_CFL_56","P13",7478.44886076,2.84,0.683223805532,299103,2.77362040215,60.2597234973,47.3378694857,17.0232029936,"Fo","Forest",17.0232029936,"2006","upper"
2653,"BWC-S","D14.RS","9/27/2012 0:00:00",0,532,0,0,13007315,5,737575,4656585,15,"P13_CFL_70","P13",39256.7115886,8.48,0.753837302322,6487589,3.60703880959,99.7483525611,51.3778490116,4.16322811502,"Ma","Marsh",38.5161915139,"2012","upper"
