"","FID","Join_Count","TARGET_FID","Field1","barcode","stratum","lcode","sdate","utm_e","utm_n","snag","OBJECTID","uniq_id","aa_num","AQUA_CODE","AQUA_DESC","pool","Area","Perimeter","bath_pct","max_depth","avg_depth","sd_depth","tot_vol","area_gt50","area_gt100","area_gt200","area_gt300","avg_fetch","shoreline_density_index","econ","sill","min_rm","max_rm","len_met","len_prm_lotic","pct_prm_lotic","num_lotic_outl","len_prm_lentic","pct_prm_lentic","num_lentic_outl","pct_aqveg","pct_opwat","len_terr","pct_terr","pct_aq","len_wetf","pct_prm_wetf","pct_terr_shore_wetf","len_wd","wdl_p_m2","num_wd","scour_wd","psco_wd","len_revln","rev_p_m2","num_rev","pct_terr_shore_rev","pct_prm_rev","area_tpi1","pct_tpi1","area_tpi2","pct_tpi2","area_tpi3","pct_tpi3","area_tpi4","pct_tpi4","sinuosity","year_phot","RIVER_MILE","NEAR_TERR_FID.p","NEAR_TERR_DIST.p","NEAR_TERR_CLASS_31.p","NEAR_TERR_CLASS_15.p","NEAR_TERR_CLASS_7.p","NEAR_TERR_CLASS_31_N.p","NEAR_TERR_CLASS_15_N.p","NEAR_TERR_CLASS_7_N.p","NEAR_TERR_HEIGHT_N.p","NEAR_FOREST_FID.p","NEAR_FOREST_DIST.p","NEAR_FOREST_CLASS_31.p","NEAR_FOREST_CLASS_15.p","NEAR_FOREST_CLASS_7.p","NEAR_FOREST_CLASS_31_N.p","NEAR_FOREST_CLASS_15_N.p","NEAR_FOREST_CLASS_7_N.p","NEAR_FOREST_HEIGHT_N.p","year.p","sitetype.p","depth.p","current.p","gear.p","stageht.p","substrt.p","wingdyke.p","riprap.p","trib.p","snagyn","area_le50","area_le100","area_le200","area_le300","pct_area_le100","pct_area_le50","pct_area_le200","pct_area_le300","stratum_name"
"1",15,1,15,627,13005426,"BWC-S","D10.RS","7/3/2007 0:00:00",726225,4669485,0,932,"P13_CFL_128",932,"CFL","Contiguous Floodplain Lake","13",1980712.677,13905.4879505,90.7690964407,5.9,0.709572739917,0.724150785313,1248447,1081354.16088,200717.497777,139752.895669,44344.8546229,0.416539334173,2.78721557854,33.853456595,21859.394543,543.972045898,546.25201416,3669.24412277,98.6702694313,0.709577900341,1,100.216693435,0.720698862145,1,68.0246682975,31.9753317025,13706.6009876,98.5697232373,1.43027676273,6490.46594102,46.6755712861,47.3528480685,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,545,13327,7.02244846194,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",4714,7.02244846194,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2007,"0",0.7,0,"D",NA,"1","0","0","0","no",899358.51612,1779995.179223,1840959.781331,1936367.8223771,0.898664001039763,0.454058040100078,0.929443125551824,0.977611667185336,"Backwater, Contiguous Shoreline"
"2",56,1,56,1383,13006463,"BWC-S","D7.RS","7/20/2010 0:00:00",718825,4676885,1,954,"P13_CFL_150",954,"CFL","Contiguous Floodplain Lake","13",196592.68042,2907.57419225,74.2525101586,1.14,0.652070874862,0.195092317446,86234,111396.159368,3295.92680619,0,0,0.208506965249,1.8498742265,0,0,551.052001953,551.802062988,1207.10322607,491.370348528,16.8996667338,1,0,0,0,1.72644189639,98.2735581036,2416.20386004,83.1003338274,16.8996661726,2108.33309895,72.5117558331,87.2580800742,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,551,9658,22.2566800287,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",3388,22.2566800287,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2010,"0",0.8,0,"D",NA,"1","0","0","0","yes",85196.521052,193296.75361381,196592.68042,196592.68042,0.983234743027316,0.43336568213011,1,1,"Backwater, Contiguous Shoreline"
"3",84,1,84,2561,13008815,"MCB-U","D4.RS","6/15/2017 0:00:00",735525,4642335,1,4549,"P13_USCB_1",1,"USCB","Unstructured Channel Border","13",849090.002959,7639.05015778,99.6390249622,12.08,4.13978865538,2.39772579645,3501329.75,848634.387788,846562.749552,724851.296489,465715.4846,NA,2.33860872567,NA,NA,522.543273926,524.811706543,3650.67934784,NA,NA,NA,3479.30915043,45.5463582326,1,0,100,599.214119654,7.84409196533,92.1559080347,0,0,0,0,0,0,0,0,0,0,0,0,0,10019,1.17996913932,816791,96.1960448425,4680,0.551178318399,17361,2.0446595696,0.026955417256,2010,522,10542,42.3339137407,"Lv","RdLv","GrFb","Levee","Road/levee","Grass/forbs"," ",3140,689.120336254,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2017,"0",0.8,0.12,"D",NA,"4","0","1","0","yes",455.615170999896,2527.25340699998,124238.70647,383374.518359,0.00297642581845592,0.00053659231578763,0.146319831863571,0.451512227235011,"Main Channel Border--Unstructured"
"4",85,1,85,2596,13006781,"BWC-S","D14.RS","8/4/2011 0:00:00",735475,4654935,1,4520,"P13_TSC_27",27,"TSC","Tertiary Channel","13",3679859.71751,42088.2011919,97.8984329989,7.95,1.61799278254,1.13197100997,5828616.75,3478797.24289,2586283.81898,1032174.52229,579218.301158,NA,6.18927530999,NA,NA,526.377380371,532.200073242,9370.69254502,3105.98572988,7.37970652563,18,26639.2332537,63.2938270092,33,2.1338624583,97.8661375417,12342.9821976,29.3264664397,70.6735335603,6349.41327392,15.0859696877,51.4414844992,0,0,0,0,0,710.058483763,0.000192958030542,3,5.75273035637,7.57743870425,49978,1.35814959908,3487548,94.7739388924,73480,1.99681524952,28589,0.776904615792,0.584334654686,2010,531,11055,41.6041389212,"SxCm","WtFo","Fo","Salix community","Wet forest","Forest","20-50 feet",4122,41.6041389212,"SxCm","WtFo","Fo","Salix community","Wet forest","Forest","20-50 feet",2011,"0",0.5,0.23,"D",NA,"3","0","0","0","yes",201062.47462,1093575.89853,2647685.19522,3100641.416352,0.297178692254599,0.054638624853898,0.719507100398809,0.84259772229852,"Backwater, Contiguous Shoreline"
"5",86,1,86,2628,13005330,"BWC-S","F39A.RS","10/6/2006 0:00:00",737525,4655535,1,860,"P13_CFL_56",860,"CFL","Contiguous Floodplain Lake","13",578521.024215,7478.44886076,80.1613045315,2.84,0.683223805532,0.421087438458,299103,264426.457922,103930.325612,2826.8339688,0,0.725462416445,2.77362040215,69.503282984,11981.9782886,531.166992188,532.060974121,1438.72088405,2971.95625539,39.7402765028,4,0,0,0,93.9046602622,6.0953397378,4506.49260538,60.2597234973,39.7402765027,3540.13836126,47.3378694857,78.5564000934,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,531,9769,17.0232029936,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",3499,17.0232029936,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2006,"1",0.7,0.08,"D",NA,"1","0","0","0","yes",314094.566293,474590.698603,575694.1902462,578521.024215,0.820351687731619,0.542926796341062,0.995113688439179,1,"Backwater, Contiguous Shoreline"
"6",87,1,87,2653,13007315,"BWC-S","D14.RS","9/27/2012 0:00:00",737575,4656585,0,874,"P13_CFL_70",874,"CFL","Contiguous Floodplain Lake","13",9425759.20554,39256.7115886,93.7393986768,8.48,0.753837302322,0.347472372567,6487589,6940406.99753,1669500.6684,30350.4935246,14366.9133891,1.06595734591,3.60703880959,41.9221811929,1737625.19521,531.709899902,535.051330566,5377.4980248,98.7885093462,0.251647438995,1,0,0,0,78.6892949902,21.3107050098,39157.9230793,99.7483525611,0.251647438877,20169.2540069,51.3778490116,51.5074662312,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,532,13296,4.16322811502,"Dmp","Dm","Ma","Deep marsh perennial","Deep marsh","Marsh"," ",3189,38.5161915139,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2012,"0",0.8,0,"D",NA,"1","0","0","0","no",2485352.20801,7756258.53714,9395408.7120154,9411392.2921509,0.822878918080281,0.263676607243396,0.996780047860043,0.998475781836156,"Backwater, Contiguous Shoreline"
"7",89,1,89,2679,13008335,"SCB","D6.RS","9/11/2015 0:00:00",735425,4658685,1,4499,"P13_SC_6",6,"SC","Side Channel","13",377816.039748,13035.4418843,87.7146455246,9.01,1.42397996083,1.01106181938,472547.75,342548.664769,294165.704187,174832.703231,109815.828576,NA,5.98247138499,NA,NA,533.230407715,536.930786133,5955.16700322,1540.37073823,11.8167895795,13,324.240489079,2.48737627736,6,4.73920639392,95.2607936061,11170.830649,85.6958340818,14.3041659182,8103.46144911,62.1648389141,72.5412612878,68.5051829737,0.000181318884766,1,0,0,249.082050332,0.00065926806733,1,2.22975406357,4.18262074258,6778,1.79399477177,309179,81.8332117943,35605,9.42389847285,812,0.214919409071,0.121599795964,2010,533,8657,44.4509448278,"Dmp","Dm","Ma","Deep marsh perennial","Deep marsh","Marsh"," ",3205,81.2402148267,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2015,"0",0.9,0.13,"D",NA,"2","0","0","0","yes",35267.374979,83650.335561,202983.336517,268000.211172,0.221404934572905,0.0933453619452551,0.53725441792357,0.70934048049086,"Side Channel Border"
"8",90,1,90,2747,13008618,"BWC-S","F69A.RS","8/18/2016 0:00:00",737225,4656485,1,4543,"P13_TSC_50",50,"TSC","Tertiary Channel","13",122744.334667,7127.16502288,49.5745894628,2.22,0.607425174252,0.508823672164,37037.75,103105.995438,91298.2461138,79769.5318647,79709.0670939,NA,5.73866871764,NA,NA,531.584472656,532.847717285,2032.99011123,79.5004538186,1.11545689714,1,2821.95763295,39.5943916535,5,39.2254452354,60.7745547646,4225.70693611,59.2901514493,40.7098485507,1373.34303585,19.2691348024,32.4997226882,0,0,0,0,0,0,0,0,0,0,0,0,79544,64.8046202831,4767,3.88368230023,0,0,0.398005713094,2010,532,8785,25.0201053582,"Dmp","Dm","Ma","Deep marsh perennial","Deep marsh","Marsh"," ",3198,26.3273020488,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2016,"1",0.9,0,"D",NA,"1","0","1","0","yes",19638.339229,31446.0885532,42974.8028023,43035.2675731,0.25619177160813,0.159993854561825,0.35011638556589,0.350608992992245,"Backwater, Contiguous Shoreline"
"9",91,1,91,2812,13006161,"MCB-U","D4.RS","8/10/2009 0:00:00",736925,4654085,1,4593,"P13_SCB_45",45,"SCB","Structured Channel Border","13",724687.845037,5836.85946219,97.2418683197,10.49,2.31471438208,1.48691099333,1629964,686156.084424,634281.508929,390102.830305,198277.425504,NA,1.93418858579,NA,NA,530.327819824,532.119750977,2883.82648177,NA,NA,NA,489.955474394,8.39416260693,4,5.25291647827,94.7470835217,2172.97110205,37.2284293656,62.7715706344,1759.63656647,30.146975062,80.9783694229,1260.66991419,0.00173960405549,6,0,0,884.982248092,0.00122119096402,3,40.7268300649,30.6877772878,9233,1.27406580133,688776,95.0445084345,4474,0.617369261902,12796,1.7657257656,0.0305079198387,2010,530,11105,94.1577238405,"SxCm","WtFo","Fo","Salix community","Wet forest","Forest","20-50 feet",4172,94.1577238405,"SxCm","WtFo","Fo","Salix community","Wet forest","Forest","20-50 feet",2009,"0",0.6,0.06,"D",NA,"3","0","0","0","yes",38531.760613,90406.336108,334585.014732,526410.419533,0.124752107720786,0.0531701488811817,0.461695358937498,0.726396093349852,"Main Channel Border--Unstructured"
"10",96,1,96,3003,13007745,"BWC-S","D13.RS","6/26/2014 0:00:00",738025,4660085,0,874,"P13_CFL_70",874,"CFL","Contiguous Floodplain Lake","13",9425759.20554,39256.7115886,93.7393986768,8.48,0.753837302322,0.347472372567,6487589,6940406.99753,1669500.6684,30350.4935246,14366.9133891,1.06595734591,3.60703880959,41.9221811929,1737625.19521,531.709899902,535.051330566,5377.4980248,98.7885093462,0.251647438995,1,0,0,0,78.6892949902,21.3107050098,39157.9230793,99.7483525611,0.251647438877,20169.2540069,51.3778490116,51.5074662312,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,534,13312,27.321087147,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",4699,27.321087147,"Ff","WtFo","Fo","Floodplain forest","Wet forest","Forest",">50 feet",2014,"0",1.2,0,"D",NA,"3","0","0","0","no",2485352.20801,7756258.53714,9395408.7120154,9411392.2921509,0.822878918080281,0.263676607243396,0.996780047860043,0.998475781836156,"Backwater, Contiguous Shoreline"
